date,kospi200,커뮤,건설,중공업,철강,에너지,정보기술,금융,생활소비재,경기소비재,산업재,헬스케어
2000-01-04,133.66,,,,,,,,,,,
2000-01-05,123.86,,,,,,,,,,,
2000-01-06,120.8,,,,,,,,,,,
2000-01-07,119.1,,,,,,,,,,,
2000-01-10,124.11,,,,,,,,,,,
2000-01-11,123.11,,,,,,,,,,,
2000-01-12,119.81,,,,,,,,,,,
2000-01-13,119.22,,,,,,,,,,,
2000-01-14,118.95,,,,,,,,,,,
2000-01-17,123.85,,,,,,,,,,,
2000-01-18,123.82,,,,,,,,,,,
2000-01-19,118.68,,,,,,,,,,,
2000-01-20,120.04,,,,,,,,,,,
2000-01-21,116.93,,,,,,,,,,,
2000-01-24,117.17,,,,,,,,,,,
2000-01-25,112.48,,,,,,,,,,,
2000-01-26,111.68,,,,,,,,,,,
2000-01-27,114.47,,,,,,,,,,,
2000-01-28,118.92,,,,,,,,,,,
2000-01-31,119.08,,,,,,,,,,,
2000-02-01,116.75,,,,,,,,,,,
2000-02-02,118.32,,,,,,,,,,,
2000-02-03,119.0,,,,,,,,,,,
2000-02-07,122.09,,,,,,,,,,,
2000-02-08,120.79,,,,,,,,,,,
2000-02-09,122.93,,,,,,,,,,,
2000-02-10,121.89,,,,,,,,,,,
2000-02-11,120.4,,,,,,,,,,,
2000-02-14,114.94,,,,,,,,,,,
2000-02-15,110.62,,,,,,,,,,,
2000-02-16,110.52,,,,,,,,,,,
2000-02-17,112.79,,,,,,,,,,,
2000-02-18,110.45,,,,,,,,,,,
2000-02-21,106.45,,,,,,,,,,,
2000-02-22,107.15,,,,,,,,,,,
2000-02-23,110.64,,,,,,,,,,,
2000-02-24,109.03,,,,,,,,,,,
2000-02-25,108.43,,,,,,,,,,,
2000-02-28,101.93,,,,,,,,,,,
2000-02-29,103.17,,,,,,,,,,,
2000-03-02,112.23,,,,,,,,,,,
2000-03-03,112.48,,,,,,,,,,,
2000-03-06,113.69,,,,,,,,,,,
2000-03-07,113.41,,,,,,,,,,,
2000-03-08,114.61,,,,,,,,,,,
2000-03-09,109.81,,,,,,,,,,,
2000-03-10,110.68,,,,,,,,,,,
2000-03-13,105.14,,,,,,,,,,,
2000-03-14,104.3,,,,,,,,,,,
2000-03-15,103.28,,,,,,,,,,,
2000-03-16,104.19,,,,,,,,,,,
2000-03-17,106.31,,,,,,,,,,,
2000-03-20,105.75,,,,,,,,,,,
2000-03-21,107.92,,,,,,,,,,,
2000-03-22,110.21,,,,,,,,,,,
2000-03-23,108.28,,,,,,,,,,,
